NO,국문,영문,학명,관리현황,분류군,학명-수정
303,미국왕고들빼기,Blue lettuce,Lactuca pulchella</em>,유입주의 생물,식물,Lactuca pulchella
304,타타리아왕고들빼기,,Lactuca tatarica</em> C.A.Mey.,유입주의 생물,식물,Lactuca tatarica
305,무지개도마뱀,Delicate skink,Lampropholis delicata</em>,유입주의 생물,파충류,Lampropholis delicata
306,점개구리밥,"Dotted duckmeat, Dotted duckweed",Landoltia punctata</em> (G. Mey) Les &amp; D.J. Crawford,"외래생물, 유입주의 생물",식물,Landoltia punctata
307,처진줄기란타나,Weeping lantana,Lantana montevidensis</em> Briq.,유입주의 생물,식물,Lantana montevidensis
308,바라문디농어,Barramundi,Lates calcarifer</em>,"외래생물, 유입주의 생물",어류,Lates calcarifer
309,나일농어,Nile perch,Lates niloticus</em>,"외래생물, 유입주의 생물",어류,Lates niloticus
310,파라과이과부거미,Black widow spider,Latrodectus antheratus</em>,유입주의 생물,무척추동물,Latrodectus antheratus
311,갈라파고스과부거미,Galapagos black widow,Latrodectus apicalis</em>,유입주의 생물,무척추동물,Latrodectus apicalis
312,플로리다붉은점과부거미,Red widow spider,Latrodectus bishopi</em>,유입주의 생물,무척추동물,Latrodectus bishopi
313,검은발과부거미,"Black widow button spiders, African black widow spider",Latrodectus cinctus</em>,유입주의 생물,무척추동물,Latrodectus cinctus
314,아르헨붉은줄과부거미,,Latrodectus corallinus</em>,유입주의 생물,무척추동물,Latrodectus corallinus
315,남미과부거미,Northern black-widow spider,Latrodectus curacaviensis</em>,유입주의 생물,무척추동물,Latrodectus curacaviensis
316,검은배과부거미,"Dahl&apos;s widow, Moroccan black widow",Latrodectus dahli</em>,유입주의 생물,무척추동물,Latrodectus dahli
317,아르헨티나흰줄과부거미,,Latrodectus diaguita</em>,유입주의 생물,무척추동물,Latrodectus diaguita
318,붉은불짜과부거미,Black widow spide,Latrodectus elegans</em>,유입주의 생물,무척추동물,Latrodectus elegans
319,검붉은과부거미,Widow spide,Latrodectus erythromelas</em>,유입주의 생물,무척추동물,Latrodectus erythromelas
320,갈색과부거미,Brown button spider,Latrodectus geometricus</em>,유입주의 생물,무척추동물,Latrodectus geometricus
321,붉은등줄과부거미,Redback spider,Latrodectus hasseltii</em>,유입주의 생물,무척추동물,Latrodectus hasseltii
322,붉은배과부거미,Western black widow spider,Latrodectus hesperus</em>,유입주의 생물,무척추동물,Latrodectus hesperus
323,가시과부거미,Spiny widow,Latrodectus hystrix</em>,유입주의 생물,무척추동물,Latrodectus hystrix
324,아프리카검은과부거미,"Black button, Black widow spider",Latrodectus indistinctus</em>,유입주의 생물,무척추동물,Latrodectus indistinctus
325,남아프리카검은과부거미,"Black button, Black widow spider",Latrodectus karrooensis</em>,유입주의 생물,무척추동물,Latrodectus karrooensis
326,뉴질랜드과부거미,"Katipo, New Zealand redback",Latrodectus katipo</em>,유입주의 생물,무척추동물,Latrodectus katipo
327,검은띠과부거미,Black widow spider,Latrodectus lilianae</em>,유입주의 생물,무척추동물,Latrodectus lilianae
328,검은과부거미,"Southern black widow, Black widow spider",Latrodectus mactans</em>,유입주의 생물,무척추동물,Latrodectus mactans
329,마다가스카르검은과부거미,Madagascan black widow,Latrodectus menavodi</em>,유입주의 생물,무척추동물,Latrodectus menavodi
330,아르헨티나불짜과부거미,"Flax spider, Black widow",Latrodectus mirabilis</em>,유입주의 생물,무척추동물,Latrodectus mirabilis
331,마다가스카르갈색과부거미,,Latrodectus obscurior</em>,유입주의 생물,무척추동물,Latrodectus obscurior
332,흰배과부거미,"Pale widow, White widow",Latrodectus pallidus</em>,유입주의 생물,무척추동물,Latrodectus pallidus
333,아르헨붉은점과부거미,,Latrodectus quartus</em>,유입주의 생물,무척추동물,Latrodectus quartus
334,콩팥과부거미,Black brown button spider,Latrodectus renivulvatus</em>,유입주의 생물,무척추동물,Latrodectus renivulvatus
335,이스라엘과부거미,,Latrodectus revivensis</em>,유입주의 생물,무척추동물,Latrodectus revivensis
336,남아프리카갈색과부거미,"Brown button, Zimbabwean buttons spider",Latrodectus rhodesiensis</em>,유입주의 생물,무척추동물,Latrodectus rhodesiensis
337,칠레과부거미,,Latrodectus thoracicus</em>,유입주의 생물,무척추동물,Latrodectus thoracicus
338,붉은점과부거미,Mediterranean black widow,Latrodectus tredecimguttatus</em>,유입주의 생물,무척추동물,Latrodectus tredecimguttatus
339,얼룩과부거미,,Latrodectus variegatus</em>,유입주의 생물,무척추동물,Latrodectus variegatus
340,북미흰줄과부거미,"Northern black widow spider, Northern widow",Latrodectus variolus</em>,유입주의 생물,무척추동물,Latrodectus variolus
341,둥근열매다닥냉이,"Hairy whitetop, Tall whitetop",Lepidium appelianum</em> Al-Shehbaz,유입주의 생물,식물,Lepidium appelianum
342,붉은가슴블루길,Lepomis auritus,Lepomis auritus</em>,"외래생물, 유입주의 생물",어류,Lepomis auritus
343,초록블루길,Green sunfish,Lepomis cyanellus</em>,유입주의 생물,어류,Lepomis cyanellus
344,황점블루길,Orangespotted sunfish,Lepomis humilis</em>,유입주의 생물,어류,Lepomis humilis
345,긴귀블루길,Longear sunfish,Lepomis megalotis</em>,유입주의 생물,어류,Lepomis megalotis
346,붉은귀블루길,Redear sunfish,Lepomis microlophus</em>,유입주의 생물,어류,Lepomis microlophus
347,북미사막토끼,Black-tailed jackrabbit,Lepus californicus</em>,유입주의 생물,포유류,Lepus californicus
348,케이프멧토끼,"Cape hare, Desert hare",Lepus capensis</em>,유입주의 생물,포유류,Lepus capensis
349,유럽토끼,,Lepus europaeus</em>,유입주의 생물,포유류,Lepus europaeus
350,선블릭유럽갈겨니,,Leucaspius delineatus</em>,유입주의 생물,어류,Leucaspius delineatus
